,fullname,team,team_code,birthdate,country,height,weight,birthplace,one_day_race_pts,gc_pts,tt_pts,sprint_pts,climb_pts,pcs_ranking,uci_ranking,number_wins,pts_pcs_2023,rank_pcs_2023,pts_pcs_2022,rank_pcs_2022,pts_pcs_2021,rank_pcs_2021,pts_pcs_2020,rank_pcs_2020,pts_pcs_2019,rank_pcs_2019,rider_code,rider_url
465,tobias  bayer ,alpecin-deceuninck,alpecin-deceuninck-2023,1999-11-17,austria,1.87,70.0,ried im innkreis,126,99,15,74,155,381,406,0,0,0,144,356,100,462,8,1196,7,1836,tobias-bayer,https://www.procyclingstats.com/rider/tobias-bayer
466,senne  leysen ,alpecin-deceuninck,alpecin-deceuninck-2023,1996-03-18,belgium,1.9,78.0,tielen,74,115,133,41,17,855,2340,0,10,523,35,887,50,682,45,569,38,1015,senne-leysen,https://www.procyclingstats.com/rider/senne-leysen
467,robbe  ghys ,alpecin-deceuninck,alpecin-deceuninck-2023,1997-01-11,belgium,1.82,72.0,hasselt,98,55,2,178,50,484,555,1,0,0,101,460,40,772,0,0,10,1684,robbe-ghys,https://www.procyclingstats.com/rider/robbe-ghys
468,fabio van den bossche ,alpecin-deceuninck,alpecin-deceuninck-2023,2000-09-21,belgium,1.76,63.0,ghent,59,87,5,21,54,1051,1931,0,18,379,9,1542,103,450,19,896,0,0,fabio-van-den-bossche,https://www.procyclingstats.com/rider/fabio-van-den-bossche
469,jensen  plowright ,alpecin-deceuninck,alpecin-deceuninck-2023,2000-05-15,australia,1.76,80.0,melbourne,39,16,0,192,24,871,677,0,5,667,50,724,19,1093,10,1129,17,1424,jensen-plowright,https://www.procyclingstats.com/rider/jensen-plowright
470,maurice  ballerstedt ,alpecin-deceuninck,alpecin-deceuninck-2023,2001-01-16,germany,1.85,76.0,berlin,49,33,28,22,39,872,844,0,5,736,34,910,51,679,10,1106,0,0,maurice-ballerstedt,https://www.procyclingstats.com/rider/maurice-ballerstedt
471,jason  osborne ,alpecin-deceuninck,alpecin-deceuninck-2023,1994-03-20,germany,1.78,70.0,mainz,0,33,79,0,74,713,1395,0,9,547,46,766,0,0,0,0,0,0,jason-osborne,https://www.procyclingstats.com/rider/jason-osborne
472,samuel  gaze ,alpecin-deceuninck,alpecin-deceuninck-2023,1995-12-12,new zealand,1.89,80.0,tokoroa,8,7,95,8,12,1177,1640,0,20,351,5,1804,0,0,2,1606,0,0,samuel-gaze,https://www.procyclingstats.com/rider/samuel-gaze
473,mark  cavendish ,astana qazaqstan team,astana-qazaqstan-team-2023,1985-05-21,great britain,1.75,70.0,douglas,2998,1402,712,12998,1221,110,100,161,26,280,571,81,1112,22,15,993,37,1020,mark-cavendish,https://www.procyclingstats.com/rider/mark-cavendish
474,luis león  sánchez ,astana qazaqstan team,astana-qazaqstan-team-2023,1983-11-24,spain,1.86,73.0,mula,1838,5817,2925,1529,4690,173,312,47,13,459,411,143,290,186,127,269,799,61,luis-leon-sanchez,https://www.procyclingstats.com/rider/luis-leon-sanchez
475,alexey  lutsenko ,astana qazaqstan team,astana-qazaqstan-team-2023,1992-09-07,kazakhstan,1.74,74.0,petropavl,1697,2794,798,930,3016,113,233,31,71,139,544,92,844,42,496,64,1287,22,aleksey-lutsenko,https://www.procyclingstats.com/rider/aleksey-lutsenko
476,fabio  felline ,astana qazaqstan team,astana-qazaqstan-team-2023,1990-03-29,italy,1.75,68.0,turin,1757,1427,1238,983,2176,443,606,14,5,721,119,412,118,405,198,171,184,346,fabio-felline,https://www.procyclingstats.com/rider/fabio-felline
477,gianni  moscon ,astana qazaqstan team,astana-qazaqstan-team-2023,1994-04-20,italy,1.82,70.0,trento,1852,853,606,320,1355,720,1606,11,0,0,59,665,521,96,70,419,418,148,gianni-moscon,https://www.procyclingstats.com/rider/gianni-moscon
478,david de la cruz ,astana qazaqstan team,astana-qazaqstan-team-2023,1989-05-06,spain,1.82,66.0,sabadell,110,2376,895,42,2468,456,894,5,18,366,199,283,420,122,365,93,270,238,david-de-la-cruz,https://www.procyclingstats.com/rider/david-de-la-cruz
479,andrey  zeits ,astana qazaqstan team,astana-qazaqstan-team-2023,1986-12-14,kazakhstan,1.89,73.0,oblast pavlodar,327,1477,125,162,703,322,274,1,0,0,179,308,97,466,36,654,144,433,andrey-zeits,https://www.procyclingstats.com/rider/andrey-zeits
480,joe  dombrowski ,astana qazaqstan team,astana-qazaqstan-team-2023,1991-05-12,united states,1.85,68.0,marshall,65,1278,224,62,1227,447,0,4,0,0,109,434,177,301,20,870,344,188,joe-dombrowski,https://www.procyclingstats.com/rider/joe-dombrowski
481,cees  bol ,astana qazaqstan team,astana-qazaqstan-team-2023,1995-07-27,netherlands,1.94,83.0,zaandam,564,340,188,1138,414,420,685,6,53,173,73,583,319,166,265,132,569,100,cees-bol,https://www.procyclingstats.com/rider/cees-bol
482,manuele  boaro ,astana qazaqstan team,astana-qazaqstan-team-2023,1987-03-12,italy,1.73,64.0,bassano del grappa,277,832,1266,354,368,790,0,3,0,0,45,778,26,943,41,600,130,468,manuele-boaro,https://www.procyclingstats.com/rider/manuele-boaro
483,dmitriy  gruzdev ,astana qazaqstan team,astana-qazaqstan-team-2023,1986-03-13,kazakhstan,1.85,78.0,astana,286,744,758,278,37,743,2042,8,10,488,45,782,65,601,35,663,78,722,dmitriy-gruzdev,https://www.procyclingstats.com/rider/dmitriy-gruzdev
484,simone  velasco ,astana qazaqstan team,astana-qazaqstan-team-2023,1995-12-02,italy,1.7,59.0,bologna,985,257,12,117,890,274,357,4,35,239,206,276,343,151,105,310,407,155,simone-velasco,https://www.procyclingstats.com/rider/simone-velasco
485,yevgeniy  gidich ,astana qazaqstan team,astana-qazaqstan-team-2023,1996-05-19,kazakhstan,1.79,69.0,kökşetaw,284,485,20,908,362,645,375,9,7,607,61,646,39,778,36,646,162,389,yevgeniy-gidich,https://www.procyclingstats.com/rider/yevgeniy-gidich
486,martin  laas ,astana qazaqstan team,astana-qazaqstan-team-2023,1993-09-15,estonia,1.76,74.0,tartu,224,267,135,1196,142,702,531,14,0,0,68,602,286,187,99,325,141,439,martin-laas,https://www.procyclingstats.com/rider/martin-laas
487,samuele  battistella ,astana qazaqstan team,astana-qazaqstan-team-2023,1998-11-14,italy,1.8,67.0,castelfranco veneto,400,378,117,85,580,171,199,1,26,284,420,140,308,173,85,362,137,452,samuele-battistella,https://www.procyclingstats.com/rider/samuele-battistella
488,alexandr  riabushenko ,astana qazaqstan team,astana-qazaqstan-team-2023,1995-10-12,belarus,1.78,61.0,minsk,493,142,6,244,342,781,2021,1,0,0,46,762,63,609,148,230,285,220,alexandr-riabushenko,https://www.procyclingstats.com/rider/alexandr-riabushenko
489,davide  martinelli ,astana qazaqstan team,astana-qazaqstan-team-2023,1993-05-31,italy,1.86,71.0,brescia,278,128,138,398,116,967,0,2,5,652,43,800,42,754,23,838,101,592,davide-martinelli,https://www.procyclingstats.com/rider/davide-martinelli
490,vadim  pronskiy ,astana qazaqstan team,astana-qazaqstan-team-2023,1998-06-04,kazakhstan,1.73,58.0,astana,41,418,48,17,336,402,569,0,0,0,135,368,87,493,48,541,173,364,vadim-pronskiy,https://www.procyclingstats.com/rider/vadim-pronskiy
491,yevgeniy  fedorov ,astana qazaqstan team,astana-qazaqstan-team-2023,2000-02-16,kazakhstan,1.93,80.0,aktobe,195,144,87,96,53,344,259,4,5,657,158,332,47,713,173,194,70,778,yevgeniy-fedorov,https://www.procyclingstats.com/rider/yevgeniy-fedorov
492,leonardo  basso ,astana qazaqstan team,astana-qazaqstan-team-2023,1993-12-25,italy,1.77,63.0,castelfranco veneto,237,90,0,128,81,853,0,0,15,439,30,976,25,954,16,972,40,996,leonardo-basso,https://www.procyclingstats.com/rider/leonardo-basso
493,christian  scaroni ,astana qazaqstan team,astana-qazaqstan-team-2023,1997-10-16,italy,1.75,63.0,brescia,173,57,3,20,269,362,451,2,4,764,148,348,66,596,10,1105,20,1322,christian-scaroni,https://www.procyclingstats.com/rider/christian-scaroni
494,harold  tejada ,astana qazaqstan team,astana-qazaqstan-team-2023,1997-04-27,colombia,1.8,63.0,pitalito,47,230,40,10,176,397,700,0,26,279,137,366,28,926,58,473,36,1041,harold-tejada,https://www.procyclingstats.com/rider/harold-tejada
495,antonio  nibali ,astana qazaqstan team,astana-qazaqstan-team-2023,1992-09-23,italy,1.8,65.0,messina,43,204,0,12,137,793,1970,1,0,0,45,780,41,764,25,802,40,990,antonio-nibali,https://www.procyclingstats.com/rider/antonio-nibali
496,yuriy  natarov ,astana qazaqstan team,astana-qazaqstan-team-2023,1996-12-28,kazakhstan,1.86,68.0,talgar,56,170,132,40,62,772,544,2,0,0,52,714,37,787,25,803,117,517,yuriy-natarov,https://www.procyclingstats.com/rider/yuriy-natarov
497,igor  chzhan ,astana qazaqstan team,astana-qazaqstan-team-2023,1999-10-02,kazakhstan,1.85,71.0,taldykorgan,91,108,81,109,60,488,234,2,0,0,115,419,0,0,12,1080,108,560,igor-chzhan,https://www.procyclingstats.com/rider/igor-chzhan
498,gleb  syritsa ,astana qazaqstan team,astana-qazaqstan-team-2023,2000-04-14,russia,1.9,85.0,none,25,1,18,264,67,465,822,1,6,619,100,462,16,1156,10,1155,16,1461,gleb-syritsa,https://www.procyclingstats.com/rider/gleb-syritsa
499,javier  romo ,astana qazaqstan team,astana-qazaqstan-team-2023,1999-01-06,spain,1.84,70.0,villafranca de los caballeros,13,111,42,4,114,1058,1547,0,5,651,21,1134,118,408,0,0,0,0,javier-romo,https://www.procyclingstats.com/rider/javier-romo
500,gleb  brussenskiy ,astana qazaqstan team,astana-qazaqstan-team-2023,2000-04-18,kazakhstan,1.78,64.0,kokshetau,82,1,0,114,76,570,386,0,0,0,82,548,2,1887,40,619,0,0,gleb-brussenskiy,https://www.procyclingstats.com/rider/gleb-brussenskiy
501,gianmarco  garofoli ,astana qazaqstan team,astana-qazaqstan-team-2023,2002-10-06,italy,1.8,70.0,ancona,1,18,2,7,22,2302,2705,0,0,0,1,2260,23,998,0,0,0,0,gianmarco-garofoli,https://www.procyclingstats.com/rider/gianmarco-garofoli
502,nurbergen  nurlykhassym ,astana qazaqstan team,astana-qazaqstan-team-2023,2000-03-25,kazakhstan,1.8,65.0,astana,4,55,0,12,0,1951,944,0,0,0,4,1974,0,0,0,0,0,0,nurbergen-nurlykhassym,https://www.procyclingstats.com/rider/nurbergen-nurlykhassym
503,mikel  landa ,bahrain - victorious,bahrain-victorious-2023,1989-12-13,spain,1.73,60.0,murgia,837,4689,201,110,5707,34,26,16,208,24,790,49,560,82,763,30,998,33,mikel-landa,https://www.procyclingstats.com/rider/mikel-landa
504,wout  poels ,bahrain - victorious,bahrain-victorious-2023,1987-10-01,netherlands,1.83,66.0,venray,993,4321,916,301,5014,260,362,21,116,91,309,194,472,108,415,78,869,51,wout-poels,https://www.procyclingstats.com/rider/wout-poels
505,damiano  caruso ,bahrain - victorious,bahrain-victorious-2023,1987-10-12,italy,1.79,67.0,ragusa,830,3850,1017,608,4700,67,69,7,58,166,654,65,905,33,420,74,314,201,damiano-caruso,https://www.procyclingstats.com/rider/damiano-caruso
506,pello  bilbao ,bahrain - victorious,bahrain-victorious-2023,1990-02-25,spain,1.74,60.0,guernica,991,3641,844,450,4648,5,6,15,532,2,1432,8,779,50,646,44,573,98,pello-bilbao,https://www.procyclingstats.com/rider/pello-bilbao
507,heinrich  haussler ,bahrain - victorious,bahrain-victorious-2023,1984-02-25,australia,1.81,74.0,inverell,3054,840,276,3800,884,521,712,22,0,0,105,445,210,248,63,450,166,377,heinrich-haussler,https://www.procyclingstats.com/rider/heinrich-haussler
508,matej  mohorič ,bahrain - victorious,bahrain-victorious-2023,1994-10-19,slovenia,1.85,72.0,kranj,2326,1548,232,608,2406,32,28,17,144,64,931,39,1324,13,247,140,476,131,matej-mohoric,https://www.procyclingstats.com/rider/matej-mohoric
509,andrea  pasqualon ,bahrain - victorious,bahrain-victorious-2023,1988-01-02,italy,1.74,68.0,bassano del grappa,2654,622,74,2430,1376,141,137,9,67,148,414,142,459,112,358,98,514,117,andrea-pasqualon,https://www.procyclingstats.com/rider/andrea-pasqualon
510,jack  haig ,bahrain - victorious,bahrain-victorious-2023,1993-09-06,australia,1.9,67.0,southport,605,2323,268,93,2447,194,143,2,36,233,363,163,761,52,368,90,658,82,jack-haig,https://www.procyclingstats.com/rider/jack-haig
511,yukiya  arashiro ,bahrain - victorious,bahrain-victorious-2023,1984-09-22,japan,1.7,64.0,ishigaki,1364,1172,142,1118,628,522,433,8,0,0,92,498,85,498,54,497,61,829,yukiya-arashiro,https://www.procyclingstats.com/rider/yukiya-arashiro
512,nikias  arndt ,bahrain - victorious,bahrain-victorious-2023,1991-11-18,germany,1.88,77.5,buchholz in der nordheide,794,694,949,1205,1376,315,267,7,22,336,163,325,306,174,80,385,294,214,nikias-arndt,https://www.procyclingstats.com/rider/nikias-arndt
513,phil  bauhaus ,bahrain - victorious,bahrain-victorious-2023,1994-07-08,germany,1.84,71.0,bocholt,745,220,1,2168,720,84,119,20,71,141,517,100,372,140,170,202,277,227,phil-bauhaus,https://www.procyclingstats.com/rider/phil-bauhaus
514,hermann  pernsteiner ,bahrain - victorious,bahrain-victorious-2023,1990-08-07,austria,1.68,55.0,oberwart,272,1012,47,12,1030,297,308,2,10,533,195,290,109,438,349,101,318,197,hermann-pernsteiner,https://www.procyclingstats.com/rider/hermann-pernsteiner
515,gino  mäder ,bahrain - victorious,bahrain-victorious-2023,1997-01-04,switzerland,1.81,61.0,flawil,104,834,236,48,1030,203,152,3,0,0,356,167,557,84,140,245,32,1093,gino-mader,https://www.procyclingstats.com/rider/gino-mader
516,jasha  sütterlin ,bahrain - victorious,bahrain-victorious-2023,1992-11-04,germany,1.84,78.0,freiburg im breisgau,340,627,995,170,295,541,1155,1,5,742,91,505,21,1033,125,276,165,381,jasha-sutterlin,https://www.procyclingstats.com/rider/jasha-sutterlin
517,santiago  buitrago ,bahrain - victorious,bahrain-victorious-2023,1999-09-26,colombia,1.74,59.0,bogotá,71,618,6,43,628,82,118,3,170,42,510,103,178,297,69,428,8,1806,santiago-buitrago-sanchez,https://www.procyclingstats.com/rider/santiago-buitrago-sanchez
518,kamil  gradek ,bahrain - victorious,bahrain-victorious-2023,1990-09-17,poland,1.94,81.0,koziegłowy,191,513,646,434,26,766,1410,3,0,0,52,711,13,1269,69,421,112,540,kamil-gradek,https://www.procyclingstats.com/rider/kamil-gradek
519,fred  wright ,bahrain - victorious,bahrain-victorious-2023,1999-06-13,great britain,1.84,75.0,london,244,171,230,116,804,92,205,0,9,549,545,90,163,324,63,452,28,1146,alfred-wright,https://www.procyclingstats.com/rider/alfred-wright
520,dušan  rajović ,bahrain - victorious,bahrain-victorious-2023,1997-11-19,serbia,1.83,74.0,kraljevo,189,11,261,745,103,683,467,12,17,383,91,501,46,720,21,860,105,572,dusan-rajovic,https://www.procyclingstats.com/rider/dusan-rajovic
521,jonathan  milan ,bahrain - victorious,bahrain-victorious-2023,2000-10-01,italy,1.94,84.0,tolmezzo,48,50,72,228,118,268,397,3,83,119,153,341,27,929,11,1092,22,1297,jonathan-milan,https://www.procyclingstats.com/rider/jonathan-milan
522,filip  maciejuk ,bahrain - victorious,bahrain-victorious-2023,1999-09-03,poland,1.9,78.0,pulawy,31,168,209,25,6,899,1403,1,5,676,38,862,74,546,1,1614,4,2175,filip-maciejuk,https://www.procyclingstats.com/rider/filip-maciejuk
523,edoardo  zambanini ,bahrain - victorious,bahrain-victorious-2023,2001-04-21,italy,1.8,62.0,riva del garda,88,62,0,29,184,321,341,0,2,816,183,303,11,1347,1,1632,0,0,edoardo-zambanini,https://www.procyclingstats.com/rider/edoardo-zambanini
524,matevž  govekar ,bahrain - victorious,bahrain-victorious-2023,2000-04-17,slovenia,1.8,73.0,ljubljana,112,5,63,80,31,438,330,1,12,476,112,424,36,799,0,0,0,0,matevz-govekar,https://www.procyclingstats.com/rider/matevz-govekar
525,fran  miholjević ,bahrain - victorious,bahrain-victorious-2023,2002-08-02,croatia,1.89,75.0,none,40,44,82,0,58,459,369,2,7,615,100,463,34,830,0,0,0,0,fran-miholjevic,https://www.procyclingstats.com/rider/fran-miholjevic
526,johan  price-pejtersen ,bahrain - victorious,bahrain-victorious-2023,1999-05-26,denmark,1.97,77.0,frederiksberg,5,18,312,17,0,1201,2355,0,7,616,19,1187,42,759,4,1433,29,1136,johan-price-pejtersen,https://www.procyclingstats.com/rider/johan-price-pejtersen
527,cameron  scott ,bahrain - victorious,bahrain-victorious-2023,1998-01-04,australia,1.83,80.0,wagga wagga,25,10,0,215,2,987,784,1,5,749,25,1056,0,0,5,1325,3,2285,cameron-scott,https://www.procyclingstats.com/rider/cameron-scott
528,rainer  kepplinger ,bahrain - victorious,bahrain-victorious-2023,1997-08-19,austria,1.79,70.0,none,5,71,37,20,37,502,430,0,5,723,92,495,0,0,0,0,0,0,rainer-kepplinger,https://www.procyclingstats.com/rider/rainer-kepplinger
529,ahmed  madan ,bahrain - victorious,bahrain-victorious-2023,2000-08-25,bahrein,1.76,65.0,none,31,0,0,16,0,785,504,2,0,0,42,817,0,0,0,0,0,0,ahmed-madan,https://www.procyclingstats.com/rider/ahmed-madan
530,sergio  tu ,bahrain - victorious,bahrain-victorious-2023,1997-02-24,taiwan,1.78,63.0,taipei,0,6,38,0,2,1788,2536,0,0,0,6,1775,0,0,0,0,7,1899,chih-hao-tu,https://www.procyclingstats.com/rider/chih-hao-tu
531,guillaume van keirsbulck ,bingoal wb,bingoal-wb-2023,1991-02-14,belgium,1.91,89.0,roeselare,762,574,459,607,61,868,1416,6,0,0,47,759,0,0,45,563,78,725,guillaume-van-keirsbulck,https://www.procyclingstats.com/rider/guillaume-van-keirsbulck
532,marco  tizza ,bingoal wb,bingoal-wb-2023,1992-02-06,italy,1.73,58.0,giussano,630,212,23,206,494,407,432,2,23,322,119,408,50,691,98,327,195,332,marco-tizza,https://www.procyclingstats.com/rider/marco-tizza
533,kenneth van rooy ,bingoal wb,bingoal-wb-2023,1993-10-08,belgium,1.79,70.0,turnhout,590,242,1,454,220,227,215,0,0,0,298,203,169,312,102,315,116,522,kenneth-van-rooy,https://www.procyclingstats.com/rider/kenneth-van-rooy
534,floris de tier ,bingoal wb,bingoal-wb-2023,1992-01-20,belgium,1.72,60.0,ghent,332,370,0,106,578,1096,1057,0,6,634,66,613,50,689,10,1100,109,553,floris-de-tier,https://www.procyclingstats.com/rider/floris-de-tier
535,matteo  malucelli ,bingoal wb,bingoal-wb-2023,1993-10-20,italy,1.71,68.0,forlì,70,29,36,1492,120,619,1495,6,32,254,90,507,52,669,8,1181,99,606,matteo-malucelli,https://www.procyclingstats.com/rider/matteo-malucelli
536,alexis  guerin ,bingoal wb,bingoal-wb-2023,1992-06-06,france,1.76,65.0,libourne,92,345,138,144,255,393,336,2,20,344,130,380,123,394,71,414,65,801,alexis-guerin,https://www.procyclingstats.com/rider/alexis-guerin
537,lennert  teugels ,bingoal wb,bingoal-wb-2023,1993-04-09,belgium,1.75,64.0,opwijk,210,248,4,120,211,217,217,2,39,219,273,221,54,656,0,0,56,862,lennert-teugels,https://www.procyclingstats.com/rider/lennert-teugels
538,dimitri  peyskens ,bingoal wb,bingoal-wb-2023,1991-11-26,belgium,1.82,69.0,uccle,303,199,7,136,212,621,917,0,8,559,61,648,6,1636,13,1057,146,427,dimitri-peyskens,https://www.procyclingstats.com/rider/dimitri-peyskens
539,karl patrick  lauk ,bingoal wb,bingoal-wb-2023,1997-01-09,estonia,1.73,69.0,kuressaare,69,318,66,326,12,387,468,5,36,235,107,439,184,288,10,1124,19,1364,karl-patrick-lauk,https://www.procyclingstats.com/rider/karl-patrick-lauk
540,rémy  mertz ,bingoal wb,bingoal-wb-2023,1995-07-17,belgium,1.75,70.0,luxembourg,255,147,7,40,246,549,627,0,7,591,90,512,114,420,52,504,57,859,remy-mertz,https://www.procyclingstats.com/rider/remy-mertz
541,ludovic  robeet ,bingoal wb,bingoal-wb-2023,1994-05-22,belgium,1.94,75.0,nivelles,266,42,9,210,14,694,1228,2,20,345,37,875,188,282,11,1097,33,1075,ludovic-robeet,https://www.procyclingstats.com/rider/ludovic-robeet
542,julian  mertens ,bingoal wb,bingoal-wb-2023,1997-10-06,belgium,1.8,67.0,turnhout,73,53,1,50,99,576,794,0,5,734,76,568,10,1354,6,1290,15,1473,julian-mertens,https://www.procyclingstats.com/rider/julian-mertens
543,alexander  salby ,bingoal wb,bingoal-wb-2023,1998-06-04,denmark,1.76,68.0,aabenraa,9,28,0,240,8,454,904,1,43,206,64,624,1,2113,0,0,9,1744,alexander-salby,https://www.procyclingstats.com/rider/alexander-salby
544,ceriel  desal ,bingoal wb,bingoal-wb-2023,1999-10-20,belgium,1.87,72.0,roeselare,13,40,1,25,5,758,1076,0,0,0,49,735,5,1713,0,0,0,0,ceriel-desal,https://www.procyclingstats.com/rider/ceriel-desal
545,louis  blouwe ,bingoal wb,bingoal-wb-2023,1999-11-19,belgium,1.82,71.0,izegem,22,10,2,37,20,838,1216,0,29,265,17,1234,2,2041,0,0,0,0,louis-blouwe,https://www.procyclingstats.com/rider/louis-blouwe
546,luca van boven ,bingoal wb,bingoal-wb-2023,2000-01-06,belgium,1.79,68.0,zottegem,32,7,0,8,55,951,807,0,5,722,27,1025,8,1507,0,0,0,0,luca-van-boven,https://www.procyclingstats.com/rider/luca-van-boven
547,nathan  vandepitte ,bingoal wb,bingoal-wb-2023,2000-03-30,france,1.92,80.0,tielt,29,2,0,30,1,2266,3143,0,0,0,1,2186,29,907,0,0,0,0,nathan-vandepitte,https://www.procyclingstats.com/rider/nathan-vandepitte
548,johan  meens ,bingoal wb,bingoal-wb-2023,1999-07-07,belgium,,,hombourg,10,0,0,13,10,1131,2275,0,0,0,22,1119,0,0,0,0,0,0,johan-meens,https://www.procyclingstats.com/rider/johan-meens
549,dorian de maeght ,bingoal wb,bingoal-wb-2023,1997-08-13,belgium,1.81,79.0,elsene,9,0,0,11,0,2028,2780,0,0,0,3,1985,6,1650,0,0,0,0,dorian-de-maeght,https://www.procyclingstats.com/rider/dorian-de-maeght
550,aaron van der beken ,bingoal wb,bingoal-wb-2023,2000-11-13,belgium,1.85,66.0,horebeke,1,3,0,2,24,2129,2217,0,0,0,2,2096,3,1870,0,0,0,0,aaron-van-der-beken,https://www.procyclingstats.com/rider/aaron-van-der-beken
551,aaron  gate ,bolton equities black spoke,bolton-equities-black-spoke-2023,1990-11-26,new zealand,1.8,71.0,auckland,185,356,254,398,304,177,161,7,49,184,307,197,80,524,29,741,105,573,aaron-gate,https://www.procyclingstats.com/rider/aaron-gate
552,james  oram ,bolton equities black spoke,bolton-equities-black-spoke-2023,1993-06-17,new zealand,1.83,68.0,palmerston north,95,266,209,180,170,666,371,1,54,170,6,1754,8,1506,26,774,34,1071,james-oram,https://www.procyclingstats.com/rider/james-oram
553,rory  townsend ,bolton equities black spoke,bolton-equities-black-spoke-2023,1995-06-30,ireland,1.84,73.0,kingston upon thames,218,3,32,268,98,883,502,3,0,0,38,861,51,678,8,1191,156,403,rory-townsend,https://www.procyclingstats.com/rider/rory-townsend
554,mark  stewart ,bolton equities black spoke,bolton-equities-black-spoke-2023,1995-08-25,great britain,1.8,70.0,dundee,10,183,4,32,110,286,346,1,39,221,197,287,0,0,0,0,0,0,mark-stewart,https://www.procyclingstats.com/rider/mark-stewart
555,luke  mudgway ,bolton equities black spoke,bolton-equities-black-spoke-2023,1996-06-12,new zealand,1.71,65.0,palmerston north,56,108,59,290,44,728,652,1,14,452,39,859,33,844,12,1074,20,1334,luke-mudgway,https://www.procyclingstats.com/rider/luke-mudgway
556,james  fouché ,bolton equities black spoke,bolton-equities-black-spoke-2023,1998-03-28,new zealand,1.86,71.0,christchurch,157,42,37,18,65,380,219,3,25,286,129,385,14,1254,0,0,28,1156,james-fouche,https://www.procyclingstats.com/rider/james-fouche
557,ryan  christensen ,bolton equities black spoke,bolton-equities-black-spoke-2023,1996-09-12,new zealand,1.75,63.0,hamilton,109,32,5,160,40,773,483,0,14,444,38,867,32,845,0,0,56,865,ryan-christensen,https://www.procyclingstats.com/rider/ryan-christensen
558,matthew  bostock ,bolton equities black spoke,bolton-equities-black-spoke-2023,1997-07-16,great britain,1.83,69.0,douglas,107,18,25,147,18,682,519,0,0,0,59,659,58,629,7,1258,5,2105,matthew-bostock,https://www.procyclingstats.com/rider/matthew-bostock
559,tom  sexton ,bolton equities black spoke,bolton-equities-black-spoke-2023,1998-11-19,new zealand,1.83,71.0,invercargill,57,10,96,14,3,533,277,1,7,605,96,480,0,0,0,0,0,0,tom-sexton,https://www.procyclingstats.com/rider/tom-sexton
560,jacob  scott ,bolton equities black spoke,bolton-equities-black-spoke-2023,1995-06-14,great britain,1.82,68.0,oldham,63,26,19,116,3,1042,814,0,0,0,27,1027,12,1319,3,1482,5,2100,jacob-scott,https://www.procyclingstats.com/rider/jacob-scott
561,logan  currie ,bolton equities black spoke,bolton-equities-black-spoke-2023,2001-06-24,new zealand,1.68,,ashburton,12,18,23,1,17,737,328,0,17,387,36,885,0,2246,0,0,0,0,logan-currie,https://www.procyclingstats.com/rider/logan-currie
562,regan  gough ,bolton equities black spoke,bolton-equities-black-spoke-2023,1996-10-06,new zealand,1.83,71.0,waipukurau,2,0,34,80,0,0,0,1,0,0,21,1144,6,1655,0,0,0,0,regan-gough,https://www.procyclingstats.com/rider/regan-gough
563,josh  burnett ,bolton equities black spoke,bolton-equities-black-spoke-2023,2000-10-26,new zealand,1.87,73.0,invercargill,2,26,1,12,26,1091,923,0,25,288,0,2359,8,1472,0,0,0,0,josh-burnett,https://www.procyclingstats.com/rider/josh-burnett
564,ollie  jones ,bolton equities black spoke,bolton-equities-black-spoke-2023,1996-04-23,new zealand,1.89,75.0,upper hutt,2,20,23,14,14,0,0,0,0,0,20,1145,4,1830,2,1578,0,0,ollie-jones,https://www.procyclingstats.com/rider/ollie-jones
565,paul  wright ,bolton equities black spoke,bolton-equities-black-spoke-2023,1998-02-03,new zealand,,,none,7,6,0,9,32,1461,1499,0,7,614,4,1960,0,0,6,1289,0,0,paul-wright,https://www.procyclingstats.com/rider/paul-wright
566,josh  kench ,bolton equities black spoke,bolton-equities-black-spoke-2023,2001-05-06,new zealand,,,none,10,3,1,2,20,1530,1297,0,0,0,11,1449,3,1836,0,0,0,0,josh-kench,https://www.procyclingstats.com/rider/josh-kench
567,george  jackson ,bolton equities black spoke,bolton-equities-black-spoke-2023,2000-02-20,new zealand,1.89,74.0,wellington,0,4,16,32,5,0,0,0,0,0,4,1873,1,2053,0,0,0,0,george-jackson,https://www.procyclingstats.com/rider/george-jackson
568,bailey  o'donnell ,bolton equities black spoke,bolton-equities-black-spoke-2023,2000-09-25,new zealand,,,none,12,2,0,16,2,0,0,0,0,0,3,1983,0,0,0,0,0,0,bailey-o-donnell,https://www.procyclingstats.com/rider/bailey-o-donnell
569,mitchel  fitzsimons ,bolton equities black spoke,bolton-equities-black-spoke-2023,2003-01-09,new zealand,,,none,0,0,0,6,0,0,0,0,0,0,1,2313,0,0,0,0,0,0,mitchel-fitzsimons,https://www.procyclingstats.com/rider/mitchel-fitzsimons
570,ethan  batt ,bolton equities black spoke,bolton-equities-black-spoke-2023,1998-08-20,new zealand,1.9,76.0,nelson,0,0,24,2,2,0,1576,0,0,0,0,0,0,0,0,0,0,0,ethan-batt,https://www.procyclingstats.com/rider/ethan-batt
571,daniel  navarro ,burgos-bh,burgos-bh-2023,1983-07-18,spain,1.74,60.0,salamanca,292,2557,250,206,2340,637,860,4,0,0,64,628,116,410,79,389,53,889,daniel-navarro,https://www.procyclingstats.com/rider/daniel-navarro
