,fullname,team,birthdate,country,height,weight,birthplace,one_day_race_pts,gc_pts,tt_pts,sprint_pts,climb_pts,pcs_ranking,uci_ranking,number_wins,pts_pcs_2023,rank_pcs_2023,pts_pcs_2022,rank_pcs_2022,pts_pcs_2021,rank_pcs_2021,pts_pcs_2020,rank_pcs_2020,pts_pcs_2019,rank_pcs_2019,rider_code,rider_url
468,Fabio Van Den Bossche ,Alpecin-Deceuninck,21/09/2000,Belgium,1.76,63,Ghent,59,87,5,21,54,1051,1931,0,18,379,9,1542,103,450,19,896,0,0,fabio-van-den-bossche,https://www.procyclingstats.com/rider/fabio-van-den-bossche
469,Jensen  Plowright ,Alpecin-Deceuninck,15/05/2000,Australia,1.76,80,Melbourne,39,16,0,192,24,871,677,0,5,667,50,724,19,1093,10,1129,17,1424,jensen-plowright,https://www.procyclingstats.com/rider/jensen-plowright
470,Maurice  Ballerstedt ,Alpecin-Deceuninck,16/01/2001,Germany,1.85,76,Berlin,49,33,28,22,39,872,844,0,5,736,34,910,51,679,10,1106,0,0,maurice-ballerstedt,https://www.procyclingstats.com/rider/maurice-ballerstedt
471,Jason  Osborne ,Alpecin-Deceuninck,20/03/1994,Germany,1.78,70,Mainz,0,33,79,0,74,713,1395,0,9,547,46,766,0,0,0,0,0,0,jason-osborne,https://www.procyclingstats.com/rider/jason-osborne
472,Samuel  Gaze ,Alpecin-Deceuninck,12/12/1995,New Zealand,1.89,80,Tokoroa,8,7,95,8,12,1177,1640,0,20,351,5,1804,0,0,2,1606,0,0,samuel-gaze,https://www.procyclingstats.com/rider/samuel-gaze
473,Mark  Cavendish ,Astana Qazaqstan Team,21/05/1985,Great Britain,1.75,70,Douglas,2998,1402,712,12998,1221,110,100,161,26,280,571,81,1112,22,15,993,37,1020,mark-cavendish,https://www.procyclingstats.com/rider/mark-cavendish
474,Luis León  Sánchez ,Astana Qazaqstan Team,24/11/1983,Spain,1.86,73,Mula,1838,5817,2925,1529,4690,173,312,47,13,459,411,143,290,186,127,269,799,61,luis-leon-sanchez,https://www.procyclingstats.com/rider/luis-leon-sanchez
475,Alexey  Lutsenko ,Astana Qazaqstan Team,07/09/1992,Kazakhstan,1.74,74,Petropavl,1697,2794,798,930,3016,113,233,31,71,139,544,92,844,42,496,64,1287,22,aleksey-lutsenko,https://www.procyclingstats.com/rider/aleksey-lutsenko
476,Fabio  Felline ,Astana Qazaqstan Team,29/03/1990,Italy,1.75,68,Turin,1757,1427,1238,983,2176,443,606,14,5,721,119,412,118,405,198,171,184,346,fabio-felline,https://www.procyclingstats.com/rider/fabio-felline
477,Gianni  Moscon ,Astana Qazaqstan Team,20/04/1994,Italy,1.82,70,Trento,1852,853,606,320,1355,720,1606,11,0,0,59,665,521,96,70,419,418,148,gianni-moscon,https://www.procyclingstats.com/rider/gianni-moscon
478,David de la Cruz ,Astana Qazaqstan Team,06/05/1989,Spain,1.82,66,Sabadell,110,2376,895,42,2468,456,894,5,18,366,199,283,420,122,365,93,270,238,david-de-la-cruz,https://www.procyclingstats.com/rider/david-de-la-cruz
479,Andrey  Zeits ,Astana Qazaqstan Team,14/12/1986,Kazakhstan,1.89,73,Oblast Pavlodar,327,1477,125,162,703,322,274,1,0,0,179,308,97,466,36,654,144,433,andrey-zeits,https://www.procyclingstats.com/rider/andrey-zeits
480,Joe  Dombrowski ,Astana Qazaqstan Team,12/05/1991,United States,1.85,68,Marshall,65,1278,224,62,1227,447,0,4,0,0,109,434,177,301,20,870,344,188,joe-dombrowski,https://www.procyclingstats.com/rider/joe-dombrowski
481,Cees  Bol ,Astana Qazaqstan Team,27/07/1995,Netherlands,1.94,83,Zaandam,564,340,188,1138,414,420,685,6,53,173,73,583,319,166,265,132,569,100,cees-bol,https://www.procyclingstats.com/rider/cees-bol
482,Manuele  Boaro ,Astana Qazaqstan Team,12/03/1987,Italy,1.73,64,Bassano del Grappa,277,832,1266,354,368,790,0,3,0,0,45,778,26,943,41,600,130,468,manuele-boaro,https://www.procyclingstats.com/rider/manuele-boaro
483,Dmitriy  Gruzdev ,Astana Qazaqstan Team,13/03/1986,Kazakhstan,1.85,78,Astana,286,744,758,278,37,743,2042,8,10,488,45,782,65,601,35,663,78,722,dmitriy-gruzdev,https://www.procyclingstats.com/rider/dmitriy-gruzdev
484,Simone  Velasco ,Astana Qazaqstan Team,02/12/1995,Italy,1.7,59,Bologna,985,257,12,117,890,274,357,4,35,239,206,276,343,151,105,310,407,155,simone-velasco,https://www.procyclingstats.com/rider/simone-velasco
485,Yevgeniy  Gidich ,Astana Qazaqstan Team,19/05/1996,Kazakhstan,1.79,69,Kökşetaw,284,485,20,908,362,645,375,9,7,607,61,646,39,778,36,646,162,389,yevgeniy-gidich,https://www.procyclingstats.com/rider/yevgeniy-gidich
486,Martin  Laas ,Astana Qazaqstan Team,15/09/1993,Estonia,1.76,74,Tartu,224,267,135,1196,142,702,531,14,0,0,68,602,286,187,99,325,141,439,martin-laas,https://www.procyclingstats.com/rider/martin-laas
487,Samuele  Battistella ,Astana Qazaqstan Team,14/11/1998,Italy,1.8,67,Castelfranco Veneto,400,378,117,85,580,171,199,1,26,284,420,140,308,173,85,362,137,452,samuele-battistella,https://www.procyclingstats.com/rider/samuele-battistella
488,Alexandr  Riabushenko ,Astana Qazaqstan Team,12/10/1995,Belarus,1.78,61,Minsk,493,142,6,244,342,781,2021,1,0,0,46,762,63,609,148,230,285,220,alexandr-riabushenko,https://www.procyclingstats.com/rider/alexandr-riabushenko
489,Davide  Martinelli ,Astana Qazaqstan Team,31/05/1993,Italy,1.86,71,Brescia,278,128,138,398,116,967,0,2,5,652,43,800,42,754,23,838,101,592,davide-martinelli,https://www.procyclingstats.com/rider/davide-martinelli
490,Vadim  Pronskiy ,Astana Qazaqstan Team,04/06/1998,Kazakhstan,1.73,58,Astana,41,418,48,17,336,402,569,0,0,0,135,368,87,493,48,541,173,364,vadim-pronskiy,https://www.procyclingstats.com/rider/vadim-pronskiy
491,Yevgeniy  Fedorov ,Astana Qazaqstan Team,16/02/2000,Kazakhstan,1.93,80,Aktobe,195,144,87,96,53,344,259,4,5,657,158,332,47,713,173,194,70,778,yevgeniy-fedorov,https://www.procyclingstats.com/rider/yevgeniy-fedorov
492,Leonardo  Basso ,Astana Qazaqstan Team,25/12/1993,Italy,1.77,63,Castelfranco Veneto,237,90,0,128,81,853,0,0,15,439,30,976,25,954,16,972,40,996,leonardo-basso,https://www.procyclingstats.com/rider/leonardo-basso
493,Christian  Scaroni ,Astana Qazaqstan Team,16/10/1997,Italy,1.75,63,Brescia,173,57,3,20,269,362,451,2,4,764,148,348,66,596,10,1105,20,1322,christian-scaroni,https://www.procyclingstats.com/rider/christian-scaroni
494,Harold  Tejada ,Astana Qazaqstan Team,27/04/1997,Colombia,1.8,63,Pitalito,47,230,40,10,176,397,700,0,26,279,137,366,28,926,58,473,36,1041,harold-tejada,https://www.procyclingstats.com/rider/harold-tejada
495,Antonio  Nibali ,Astana Qazaqstan Team,23/09/1992,Italy,1.8,65,Messina,43,204,0,12,137,793,1970,1,0,0,45,780,41,764,25,802,40,990,antonio-nibali,https://www.procyclingstats.com/rider/antonio-nibali
496,Yuriy  Natarov ,Astana Qazaqstan Team,28/12/1996,Kazakhstan,1.86,68,Talgar,56,170,132,40,62,772,544,2,0,0,52,714,37,787,25,803,117,517,yuriy-natarov,https://www.procyclingstats.com/rider/yuriy-natarov
497,Igor  Chzhan ,Astana Qazaqstan Team,02/10/1999,Kazakhstan,1.85,71,Taldykorgan,91,108,81,109,60,488,234,2,0,0,115,419,0,0,12,1080,108,560,igor-chzhan,https://www.procyclingstats.com/rider/igor-chzhan
498,Gleb  Syritsa ,Astana Qazaqstan Team,14/04/2000,Russia,1.9,85,None,25,1,18,264,67,465,822,1,6,619,100,462,16,1156,10,1155,16,1461,gleb-syritsa,https://www.procyclingstats.com/rider/gleb-syritsa
499,Javier  Romo ,Astana Qazaqstan Team,06/01/1999,Spain,1.84,70,Villafranca de los Caballeros,13,111,42,4,114,1058,1547,0,5,651,21,1134,118,408,0,0,0,0,javier-romo,https://www.procyclingstats.com/rider/javier-romo
500,Gleb  Brussenskiy ,Astana Qazaqstan Team,18/04/2000,Kazakhstan,1.78,64,Kokshetau,82,1,0,114,76,570,386,0,0,0,82,548,2,1887,40,619,0,0,gleb-brussenskiy,https://www.procyclingstats.com/rider/gleb-brussenskiy
501,Gianmarco  Garofoli ,Astana Qazaqstan Team,06/10/2002,Italy,1.8,70,Ancona,1,18,2,7,22,2302,2705,0,0,0,1,2260,23,998,0,0,0,0,gianmarco-garofoli,https://www.procyclingstats.com/rider/gianmarco-garofoli
502,Nurbergen  Nurlykhassym ,Astana Qazaqstan Team,25/03/2000,Kazakhstan,1.8,65,Astana,4,55,0,12,0,1951,944,0,0,0,4,1974,0,0,0,0,0,0,nurbergen-nurlykhassym,https://www.procyclingstats.com/rider/nurbergen-nurlykhassym
503,Mikel  Landa ,Bahrain - Victorious,13/12/1989,Spain,1.73,60,Murgia,837,4689,201,110,5707,34,26,16,208,24,790,49,560,82,763,30,998,33,mikel-landa,https://www.procyclingstats.com/rider/mikel-landa
504,Wout  Poels ,Bahrain - Victorious,01/10/1987,Netherlands,1.83,66,Venray,993,4321,916,301,5014,260,362,21,116,91,309,194,472,108,415,78,869,51,wout-poels,https://www.procyclingstats.com/rider/wout-poels
505,Damiano  Caruso ,Bahrain - Victorious,12/10/1987,Italy,1.79,67,Ragusa,830,3850,1017,608,4700,67,69,7,58,166,654,65,905,33,420,74,314,201,damiano-caruso,https://www.procyclingstats.com/rider/damiano-caruso
506,Pello  Bilbao ,Bahrain - Victorious,25/02/1990,Spain,1.74,60,Guernica,991,3641,844,450,4648,5,6,15,532,2,1432,8,779,50,646,44,573,98,pello-bilbao,https://www.procyclingstats.com/rider/pello-bilbao
507,Heinrich  Haussler ,Bahrain - Victorious,25/02/1984,Australia,1.81,74,Inverell,3054,840,276,3800,884,521,712,22,0,0,105,445,210,248,63,450,166,377,heinrich-haussler,https://www.procyclingstats.com/rider/heinrich-haussler
508,Matej  Mohorič ,Bahrain - Victorious,19/10/1994,Slovenia,1.85,72,Kranj,2326,1548,232,608,2406,32,28,17,144,64,931,39,1324,13,247,140,476,131,matej-mohoric,https://www.procyclingstats.com/rider/matej-mohoric
509,Andrea  Pasqualon ,Bahrain - Victorious,02/01/1988,Italy,1.74,68,Bassano del Grappa,2654,622,74,2430,1376,141,137,9,67,148,414,142,459,112,358,98,514,117,andrea-pasqualon,https://www.procyclingstats.com/rider/andrea-pasqualon
510,Jack  Haig ,Bahrain - Victorious,06/09/1993,Australia,1.9,67,Southport,605,2323,268,93,2447,194,143,2,36,233,363,163,761,52,368,90,658,82,jack-haig,https://www.procyclingstats.com/rider/jack-haig
511,Yukiya  Arashiro ,Bahrain - Victorious,22/09/1984,Japan,1.7,64,Ishigaki,1364,1172,142,1118,628,522,433,8,0,0,92,498,85,498,54,497,61,829,yukiya-arashiro,https://www.procyclingstats.com/rider/yukiya-arashiro
512,Nikias  Arndt ,Bahrain - Victorious,18/11/1991,Germany,1.88,77.5,Buchholz in der Nordheide,794,694,949,1205,1376,315,267,7,22,336,163,325,306,174,80,385,294,214,nikias-arndt,https://www.procyclingstats.com/rider/nikias-arndt
513,Phil  Bauhaus ,Bahrain - Victorious,08/07/1994,Germany,1.84,71,Bocholt,745,220,1,2168,720,84,119,20,71,141,517,100,372,140,170,202,277,227,phil-bauhaus,https://www.procyclingstats.com/rider/phil-bauhaus
514,Hermann  Pernsteiner ,Bahrain - Victorious,07/08/1990,Austria,1.68,55,Oberwart,272,1012,47,12,1030,297,308,2,10,533,195,290,109,438,349,101,318,197,hermann-pernsteiner,https://www.procyclingstats.com/rider/hermann-pernsteiner
515,Gino  Mäder ,Bahrain - Victorious,04/01/1997,Switzerland,1.81,61,Flawil,104,834,236,48,1030,203,152,3,0,0,356,167,557,84,140,245,32,1093,gino-mader,https://www.procyclingstats.com/rider/gino-mader
516,Jasha  Sütterlin ,Bahrain - Victorious,04/11/1992,Germany,1.84,78,Freiburg im Breisgau,340,627,995,170,295,541,1155,1,5,742,91,505,21,1033,125,276,165,381,jasha-sutterlin,https://www.procyclingstats.com/rider/jasha-sutterlin
517,Santiago  Buitrago ,Bahrain - Victorious,26/09/1999,Colombia,1.74,59,Bogotá,71,618,6,43,628,82,118,3,170,42,510,103,178,297,69,428,8,1806,santiago-buitrago-sanchez,https://www.procyclingstats.com/rider/santiago-buitrago-sanchez
518,Kamil  Gradek ,Bahrain - Victorious,17/09/1990,Poland,1.94,81,Koziegłowy,191,513,646,434,26,766,1410,3,0,0,52,711,13,1269,69,421,112,540,kamil-gradek,https://www.procyclingstats.com/rider/kamil-gradek
519,Fred  Wright ,Bahrain - Victorious,13/06/1999,Great Britain,1.84,75,London,244,171,230,116,804,92,205,0,9,549,545,90,163,324,63,452,28,1146,alfred-wright,https://www.procyclingstats.com/rider/alfred-wright
520,Dušan  Rajović ,Bahrain - Victorious,19/11/1997,Serbia,1.83,74,Kraljevo,189,11,261,745,103,683,467,12,17,383,91,501,46,720,21,860,105,572,dusan-rajovic,https://www.procyclingstats.com/rider/dusan-rajovic
521,Jonathan  Milan ,Bahrain - Victorious,01/10/2000,Italy,1.94,84,Tolmezzo,48,50,72,228,118,268,397,3,83,119,153,341,27,929,11,1092,22,1297,jonathan-milan,https://www.procyclingstats.com/rider/jonathan-milan
522,Filip  Maciejuk ,Bahrain - Victorious,03/09/1999,Poland,1.9,78,Pulawy,31,168,209,25,6,899,1403,1,5,676,38,862,74,546,1,1614,4,2175,filip-maciejuk,https://www.procyclingstats.com/rider/filip-maciejuk
523,Edoardo  Zambanini ,Bahrain - Victorious,21/04/2001,Italy,1.8,62,Riva del Garda,88,62,0,29,184,321,341,0,2,816,183,303,11,1347,1,1632,0,0,edoardo-zambanini,https://www.procyclingstats.com/rider/edoardo-zambanini
524,Matevž  Govekar ,Bahrain - Victorious,17/04/2000,Slovenia,1.8,73,Ljubljana,112,5,63,80,31,438,330,1,12,476,112,424,36,799,0,0,0,0,matevz-govekar,https://www.procyclingstats.com/rider/matevz-govekar
525,Fran  Miholjević ,Bahrain - Victorious,02/08/2002,Croatia,1.89,75,None,40,44,82,0,58,459,369,2,7,615,100,463,34,830,0,0,0,0,fran-miholjevic,https://www.procyclingstats.com/rider/fran-miholjevic
526,Johan  Price-Pejtersen ,Bahrain - Victorious,26/05/1999,Denmark,1.97,77,Frederiksberg,5,18,312,17,0,1201,2355,0,7,616,19,1187,42,759,4,1433,29,1136,johan-price-pejtersen,https://www.procyclingstats.com/rider/johan-price-pejtersen
527,Cameron  Scott ,Bahrain - Victorious,04/01/1998,Australia,1.83,80,Wagga Wagga,25,10,0,215,2,987,784,1,5,749,25,1056,0,0,5,1325,3,2285,cameron-scott,https://www.procyclingstats.com/rider/cameron-scott
528,Rainer  Kepplinger ,Bahrain - Victorious,19/08/1997,Austria,1.79,70,None,5,71,37,20,37,502,430,0,5,723,92,495,0,0,0,0,0,0,rainer-kepplinger,https://www.procyclingstats.com/rider/rainer-kepplinger
529,Ahmed  Madan ,Bahrain - Victorious,25/08/2000,Bahrein,1.76,65,None,31,0,0,16,0,785,504,2,0,0,42,817,0,0,0,0,0,0,ahmed-madan,https://www.procyclingstats.com/rider/ahmed-madan
530,Sergio  Tu ,Bahrain - Victorious,24/02/1997,Taiwan,1.78,63,Taipei,0,6,38,0,2,1788,2536,0,0,0,6,1775,0,0,0,0,7,1899,chih-hao-tu,https://www.procyclingstats.com/rider/chih-hao-tu
531,Guillaume Van Keirsbulck ,Bingoal WB,14/02/1991,Belgium,1.91,89,Roeselare,762,574,459,607,61,868,1416,6,0,0,47,759,0,0,45,563,78,725,guillaume-van-keirsbulck,https://www.procyclingstats.com/rider/guillaume-van-keirsbulck
532,Marco  Tizza ,Bingoal WB,06/02/1992,Italy,1.73,58,Giussano,630,212,23,206,494,407,432,2,23,322,119,408,50,691,98,327,195,332,marco-tizza,https://www.procyclingstats.com/rider/marco-tizza
533,Kenneth Van Rooy ,Bingoal WB,08/10/1993,Belgium,1.79,70,Turnhout,590,242,1,454,220,227,215,0,0,0,298,203,169,312,102,315,116,522,kenneth-van-rooy,https://www.procyclingstats.com/rider/kenneth-van-rooy
534,Floris De Tier ,Bingoal WB,20/01/1992,Belgium,1.72,60,Ghent,332,370,0,106,578,1096,1057,0,6,634,66,613,50,689,10,1100,109,553,floris-de-tier,https://www.procyclingstats.com/rider/floris-de-tier
535,Matteo  Malucelli ,Bingoal WB,20/10/1993,Italy,1.71,68,Forlì,70,29,36,1492,120,619,1495,6,32,254,90,507,52,669,8,1181,99,606,matteo-malucelli,https://www.procyclingstats.com/rider/matteo-malucelli
536,Alexis  Guerin ,Bingoal WB,06/06/1992,France,1.76,65,Libourne,92,345,138,144,255,393,336,2,20,344,130,380,123,394,71,414,65,801,alexis-guerin,https://www.procyclingstats.com/rider/alexis-guerin
537,Lennert  Teugels ,Bingoal WB,09/04/1993,Belgium,1.75,64,Opwijk,210,248,4,120,211,217,217,2,39,219,273,221,54,656,0,0,56,862,lennert-teugels,https://www.procyclingstats.com/rider/lennert-teugels
538,Dimitri  Peyskens ,Bingoal WB,26/11/1991,Belgium,1.82,69,Uccle,303,199,7,136,212,621,917,0,8,559,61,648,6,1636,13,1057,146,427,dimitri-peyskens,https://www.procyclingstats.com/rider/dimitri-peyskens
539,Karl Patrick  Lauk ,Bingoal WB,09/01/1997,Estonia,1.73,69,Kuressaare,69,318,66,326,12,387,468,5,36,235,107,439,184,288,10,1124,19,1364,karl-patrick-lauk,https://www.procyclingstats.com/rider/karl-patrick-lauk
540,Rémy  Mertz ,Bingoal WB,17/07/1995,Belgium,1.75,70,Luxembourg,255,147,7,40,246,549,627,0,7,591,90,512,114,420,52,504,57,859,remy-mertz,https://www.procyclingstats.com/rider/remy-mertz
541,Ludovic  Robeet ,Bingoal WB,22/05/1994,Belgium,1.94,75,Nivelles,266,42,9,210,14,694,1228,2,20,345,37,875,188,282,11,1097,33,1075,ludovic-robeet,https://www.procyclingstats.com/rider/ludovic-robeet
542,Julian  Mertens ,Bingoal WB,06/10/1997,Belgium,1.8,67,Turnhout,73,53,1,50,99,576,794,0,5,734,76,568,10,1354,6,1290,15,1473,julian-mertens,https://www.procyclingstats.com/rider/julian-mertens
543,Alexander  Salby ,Bingoal WB,04/06/1998,Denmark,1.76,68,Aabenraa,9,28,0,240,8,454,904,1,43,206,64,624,1,2113,0,0,9,1744,alexander-salby,https://www.procyclingstats.com/rider/alexander-salby
544,Ceriel  Desal ,Bingoal WB,20/10/1999,Belgium,1.87,72,Roeselare,13,40,1,25,5,758,1076,0,0,0,49,735,5,1713,0,0,0,0,ceriel-desal,https://www.procyclingstats.com/rider/ceriel-desal
545,Louis  Blouwe ,Bingoal WB,19/11/1999,Belgium,1.82,71,Izegem,22,10,2,37,20,838,1216,0,29,265,17,1234,2,2041,0,0,0,0,louis-blouwe,https://www.procyclingstats.com/rider/louis-blouwe
546,Luca Van Boven ,Bingoal WB,06/01/2000,Belgium,1.79,68,Zottegem,32,7,0,8,55,951,807,0,5,722,27,1025,8,1507,0,0,0,0,luca-van-boven,https://www.procyclingstats.com/rider/luca-van-boven
547,Nathan  Vandepitte ,Bingoal WB,30/03/2000,France,1.92,80,Tielt,29,2,0,30,1,2266,3143,0,0,0,1,2186,29,907,0,0,0,0,nathan-vandepitte,https://www.procyclingstats.com/rider/nathan-vandepitte
548,Johan  Meens ,Bingoal WB,07/07/1999,Belgium,0,0,Hombourg,10,0,0,13,10,1131,2275,0,0,0,22,1119,0,0,0,0,0,0,johan-meens,https://www.procyclingstats.com/rider/johan-meens
549,Dorian De Maeght ,Bingoal WB,13/08/1997,Belgium,1.81,79,Elsene,9,0,0,11,0,2028,2780,0,0,0,3,1985,6,1650,0,0,0,0,dorian-de-maeght,https://www.procyclingstats.com/rider/dorian-de-maeght
550,Aaron Van Der Beken ,Bingoal WB,13/11/2000,Belgium,1.85,66,Horebeke,1,3,0,2,24,2129,2217,0,0,0,2,2096,3,1870,0,0,0,0,aaron-van-der-beken,https://www.procyclingstats.com/rider/aaron-van-der-beken
551,Aaron  Gate ,Bolton Equities Black Spoke,26/11/1990,New Zealand,1.8,71,Auckland,185,356,254,398,304,177,161,7,49,184,307,197,80,524,29,741,105,573,aaron-gate,https://www.procyclingstats.com/rider/aaron-gate
552,James  Oram ,Bolton Equities Black Spoke,17/06/1993,New Zealand,1.83,68,Palmerston North,95,266,209,180,170,666,371,1,54,170,6,1754,8,1506,26,774,34,1071,james-oram,https://www.procyclingstats.com/rider/james-oram
553,Rory  Townsend ,Bolton Equities Black Spoke,30/06/1995,Ireland,1.84,73,Kingston upon Thames,218,3,32,268,98,883,502,3,0,0,38,861,51,678,8,1191,156,403,rory-townsend,https://www.procyclingstats.com/rider/rory-townsend
554,Mark  Stewart ,Bolton Equities Black Spoke,25/08/1995,Great Britain,1.8,70,Dundee,10,183,4,32,110,286,346,1,39,221,197,287,0,0,0,0,0,0,mark-stewart,https://www.procyclingstats.com/rider/mark-stewart
555,Luke  Mudgway ,Bolton Equities Black Spoke,12/06/1996,New Zealand,1.71,65,Palmerston North,56,108,59,290,44,728,652,1,14,452,39,859,33,844,12,1074,20,1334,luke-mudgway,https://www.procyclingstats.com/rider/luke-mudgway
556,James  Fouché ,Bolton Equities Black Spoke,28/03/1998,New Zealand,1.86,71,Christchurch,157,42,37,18,65,380,219,3,25,286,129,385,14,1254,0,0,28,1156,james-fouche,https://www.procyclingstats.com/rider/james-fouche
557,Ryan  Christensen ,Bolton Equities Black Spoke,12/09/1996,New Zealand,1.75,63,Hamilton,109,32,5,160,40,773,483,0,14,444,38,867,32,845,0,0,56,865,ryan-christensen,https://www.procyclingstats.com/rider/ryan-christensen
558,Matthew  Bostock ,Bolton Equities Black Spoke,16/07/1997,Great Britain,1.83,69,Douglas,107,18,25,147,18,682,519,0,0,0,59,659,58,629,7,1258,5,2105,matthew-bostock,https://www.procyclingstats.com/rider/matthew-bostock
559,Tom  Sexton ,Bolton Equities Black Spoke,19/11/1998,New Zealand,1.83,71,Invercargill,57,10,96,14,3,533,277,1,7,605,96,480,0,0,0,0,0,0,tom-sexton,https://www.procyclingstats.com/rider/tom-sexton
560,Jacob  Scott ,Bolton Equities Black Spoke,14/06/1995,Great Britain,1.82,68,Oldham,63,26,19,116,3,1042,814,0,0,0,27,1027,12,1319,3,1482,5,2100,jacob-scott,https://www.procyclingstats.com/rider/jacob-scott
561,Logan  Currie ,Bolton Equities Black Spoke,24/06/2001,New Zealand,1.68,0,Ashburton,12,18,23,1,17,737,328,0,17,387,36,885,0,2246,0,0,0,0,logan-currie,https://www.procyclingstats.com/rider/logan-currie
562,Regan  Gough ,Bolton Equities Black Spoke,06/10/1996,New Zealand,1.83,71,Waipukurau,2,0,34,80,0,0,0,1,0,0,21,1144,6,1655,0,0,0,0,regan-gough,https://www.procyclingstats.com/rider/regan-gough
563,Josh  Burnett ,Bolton Equities Black Spoke,26/10/2000,New Zealand,1.87,73,Invercargill,2,26,1,12,26,1091,923,0,25,288,0,2359,8,1472,0,0,0,0,josh-burnett,https://www.procyclingstats.com/rider/josh-burnett
564,Ollie  Jones ,Bolton Equities Black Spoke,23/04/1996,New Zealand,1.89,75,Upper Hutt,2,20,23,14,14,0,0,0,0,0,20,1145,4,1830,2,1578,0,0,ollie-jones,https://www.procyclingstats.com/rider/ollie-jones
565,Paul  Wright ,Bolton Equities Black Spoke,03/02/1998,New Zealand,0,0,None,7,6,0,9,32,1461,1499,0,7,614,4,1960,0,0,6,1289,0,0,paul-wright,https://www.procyclingstats.com/rider/paul-wright
566,Josh  Kench ,Bolton Equities Black Spoke,06/05/2001,New Zealand,0,0,None,10,3,1,2,20,1530,1297,0,0,0,11,1449,3,1836,0,0,0,0,josh-kench,https://www.procyclingstats.com/rider/josh-kench
567,George  Jackson ,Bolton Equities Black Spoke,20/02/2000,New Zealand,1.89,74,Wellington,0,4,16,32,5,0,0,0,0,0,4,1873,1,2053,0,0,0,0,george-jackson,https://www.procyclingstats.com/rider/george-jackson
568,Bailey  O'Donnell ,Bolton Equities Black Spoke,25/09/2000,New Zealand,0,0,None,12,2,0,16,2,0,0,0,0,0,3,1983,0,0,0,0,0,0,bailey-o-donnell,https://www.procyclingstats.com/rider/bailey-o-donnell
569,Mitchel  Fitzsimons ,Bolton Equities Black Spoke,09/01/2003,New Zealand,0,0,None,0,0,0,6,0,0,0,0,0,0,1,2313,0,0,0,0,0,0,mitchel-fitzsimons,https://www.procyclingstats.com/rider/mitchel-fitzsimons
570,Ethan  Batt ,Bolton Equities Black Spoke,20/08/1998,New Zealand,1.9,76,Nelson,0,0,24,2,2,0,1576,0,0,0,0,0,0,0,0,0,0,0,ethan-batt,https://www.procyclingstats.com/rider/ethan-batt
571,Daniel  Navarro ,Burgos-BH,18/07/1983,Spain,1.74,60,Salamanca,292,2557,250,206,2340,637,860,4,0,0,64,628,116,410,79,389,53,889,daniel-navarro,https://www.procyclingstats.com/rider/daniel-navarro
572,Ángel  Madrazo ,Burgos-BH,30/07/1988,Spain,1.71,61,Santander,901,570,93,274,766,1602,1736,3,0,0,57,672,102,453,28,758,144,432,angel-madrazo,https://www.procyclingstats.com/rider/angel-madrazo
573,Jetse  Bol ,Burgos-BH,08/09/1989,Netherlands,1.84,71,Avenhorn,384,494,145,684,408,808,1517,0,0,0,44,791,70,570,67,438,131,462,jetse-bol,https://www.procyclingstats.com/rider/jetse-bol
574,Cyril  Barthe ,Burgos-BH,14/02/1996,France,1.84,70,Sauveterre-de-Béarn,200,242,5,234,306,391,615,0,18,365,127,389,166,317,42,595,131,461,cyril-barthe,https://www.procyclingstats.com/rider/cyril-barthe
575,José Manuel  Díaz ,Burgos-BH,18/01/1995,Spain,1.77,64,Jaén,100,333,0,6,362,622,871,3,26,281,49,734,266,205,64,449,23,1266,jose-manuel-diaz-gallego,https://www.procyclingstats.com/rider/jose-manuel-diaz-gallego
576,Jesús  Ezquerra ,Burgos-BH,30/11/1990,Spain,1.85,68,Adal-Treto,169,129,130,204,237,667,1648,1,0,0,93,489,51,677,24,831,42,971,jesus-ezquerra-muela,https://www.procyclingstats.com/rider/jesus-ezquerra-muela
577,Manuel  Peñalver ,Burgos-BH,10/12/1998,Spain,1.77,67,Torrevieja,100,0,0,462,136,1152,2249,1,1,877,52,716,68,584,27,762,24,1236,manuel-penalver,https://www.procyclingstats.com/rider/manuel-penalver
578,Ander  Okamika ,Burgos-BH,02/04/1993,Spain,1.9,70,Lekeitio,51,80,3,6,76,663,1424,0,0,0,73,587,71,561,0,0,0,0,ander-okamika,https://www.procyclingstats.com/rider/ander-okamika
579,Antonio  Angulo ,Burgos-BH,18/02/1992,Spain,1.75,67,El Llano Udías,45,57,4,122,154,1062,1218,0,8,563,18,1208,62,612,29,745,17,1416,antonio-angulo,https://www.procyclingstats.com/rider/antonio-angulo
580,Pelayo  Sánchez ,Burgos-BH,27/03/2000,Spain,1.77,62,Tellego,55,60,18,0,58,599,659,0,67,146,7,1646,44,731,0,0,0,0,pelayo-sanchez-mayo,https://www.procyclingstats.com/rider/pelayo-sanchez-mayo
581,Victor  Langellotti ,Burgos-BH,07/06/1995,Monaco,1.77,64,Monaco,25,43,20,0,148,513,751,1,61,156,32,934,9,1457,0,0,5,2088,victor-langellotti,https://www.procyclingstats.com/rider/victor-langellotti
582,Óscar  Pelegrí ,Burgos-BH,30/05/1994,Spain,1.75,63,Castellón de la Plana,40,27,12,140,74,1854,0,0,0,0,19,1174,43,740,10,1151,8,1798,oscar-pelegri,https://www.procyclingstats.com/rider/oscar-pelegri
